fov segment, laser convert, laser ds, map update, optimize, poseEstimate, processMeasurement, pub cloud, 
0.083293,1.06895,2.17186,0.211194,33.9421,24.6863,31.6041,0.019767,
0.081973,0.994508,2.08861,0.214552,25.4596,34.2414,25.83,0.018109,
0.083149,1.04707,3.01339,0.216844,31.7791,25.7623,31.7417,0.019028,
0.080102,1.30363,2.15352,0.195835,24.6125,32.0571,24.8604,0.030078,
0.104194,0.997197,2.22065,0.230309,67.2187,24.9495,41.9715,0.045777,
0.091591,1.06244,2.22067,0.218279,31.5462,67.5306,32.8987,0.030671,
0.155806,1.0192,2.86334,0.27865,39.5926,31.9826,36.7039,0.027042,
0.09423,1.05051,2.08435,0.226858,42.9754,39.9156,41.2127,0.021414,
0.171318,1.01306,2.14889,0.317682,25.2427,43.4669,32.4944,0.042278,
0.078507,0.99895,2.14538,0.196585,33.4817,25.5199,37.5732,0.018789,
0.098321,1.0872,2.43914,0.226753,25.3279,33.8089,25.3211,0.024044,
0.100988,1.00983,2.09969,0.19775,25.0595,25.6291,34.8829,0.035089,
0.11024,1.04724,2.09988,0.210143,26.0157,25.3835,26.4183,0.032796,
0.09827,1.06017,2.07789,0.205752,25.8565,26.3229,32.7151,0.035248,
0.116499,1.01212,2.10677,0.21963,25.6155,26.1955,25.6241,0.024779,
0.089594,1.4769,2.64685,0.220532,20.8764,25.9278,68.1919,0.020993,
0.094987,1.29766,2.62788,0.228802,34.3231,21.2027,32.6244,0.019902,
0.095445,1.29067,2.51533,0.220282,49.131,34.6428,40.5581,0.024315,
0.081468,1.31975,2.75702,0.205057,33.7393,49.4201,44.1426,0.01763,
0.080324,1.54703,2.57793,0.198265,41.2923,34.0197,26.471,0.016126,
0.171349,1.42986,2.68692,0.330953,34.3266,41.7973,34.5047,0.029028,
0.092108,1.25124,2.13293,0.239975,24.9952,34.6613,26.2927,0.01784,
0.152376,1.26471,2.18005,0.264591,25.1761,25.4163,26.046,0.025403,
0.09288,1.23946,2.16189,0.2251,26.9441,25.4972,27.0123,0.019467,
0.113212,1.07323,2.1271,0.223953,26.6497,27.2837,26.8782,0.035439,
0.084783,1.64097,2.19078,0.196086,39.3163,26.9328,26.5867,0.017435,
0.083594,1.06789,2.16784,0.260641,25.2005,39.6626,21.8668,0.325762,
0.089898,1.27677,2.13179,0.208472,25.0559,25.502,35.309,0.017741,
0.096852,1.0005,2.1418,0.198475,36.8048,25.3547,50.0901,0.018811,
0.092299,0.989102,2.09849,0.204698,32.6081,37.1045,34.6618,0.021255,
0.100492,1.24921,2.25234,0.208854,17.4659,32.9208,42.4505,0.032101,
0.095636,0.992099,2.07517,0.224743,33.314,17.789,35.6162,0.018628,
0.108788,0.995109,2.07965,0.227999,24.897,33.6533,26.0717,0.021668,
0.089765,0.987425,2.0831,0.195608,33.5125,25.1847,26.1598,0.022018,
0.086868,0.995873,2.09111,0.200875,17.7654,33.8024,27.942,0.017677,
0.114691,1.25271,2.19693,0.234237,34.6164,18.1171,27.5778,0.023536,
0.086275,1.0195,2.09632,0.195543,25.3694,34.9008,40.6353,0.018781,
0.094254,1.04442,2.62376,0.208871,25.7765,25.6758,26.1357,0.020679,
0.09227,1.30974,2.22399,0.198159,34.4502,26.069,26.0081,0.038457,
0.086827,1.0109,2.08698,0.195343,17.5948,34.7351,37.7604,0.018008,
0.095651,1.26966,2.22343,0.230757,29.4666,17.9245,33.5758,0.017827,
